symbol,date,close,open,high,low,volume
AU.NH,20240628,2053.376,2048.536,2054.493,2044.1427,185832
AU.NH,20240627,2030.5905,2042.0577,2042.8768,2025.4526,222547
AU.NH,20240626,2042.8768,2054.7908,2057.9927,2035.8774,287477
AU.NH,20240625,2055.7588,2055.5354,2063.7263,2052.7059,160622
AU.NH,20240624,2052.1102,2085.9161,2091.1285,2049.7274,273521
AU.NH,20240621,2083.9801,2070.0556,2092.2454,2069.3855,227674
AU.NH,20240620,2074.3744,2055.7588,2075.6403,2053.0782,178194
AU.NH,20240619,2056.6524,2042.8768,2058.5884,2042.8768,169260
AU.NH,20240618,2048.0147,2046.2276,2053.376,2040.7174,171574
AU.NH,20240617,2045.7064,2056.6524,2060.5244,2043.6959,219678
AU.NH,20240614,2042.0577,2045.1852,2046.8233,2023.6655,216615
AU.NH,20240613,2041.9088,2057.9927,2061.418,2032.4521,249890
AU.NH,20240612,2040.4196,2040.5685,2043.3236,2031.2607,170008
AU.NH,20240611,2028.2822,2085.3204,2085.3204,2025.0058,180956
AU.NH,20240607,2093.5113,2085.3204,2105.7231,2079.6613,280157
AU.NH,20240606,2092.9156,2070.0556,2101.3298,2063.4285,284636
AU.NH,20240605,2061.1946,2060.5244,2068.2685,2045.5575,238809
AU.NH,20240604,2070.9492,2062.5349,2076.3105,2056.9502,208399
AU.NH,20240603,2053.525,2082.1185,2087.1075,2043.3981,319714
AU.NH,20240531,2073.2575,2068.8642,2077.2785,2063.9497,205710
AU.NH,20240530,2063.354,2069.9067,2079.4379,2053.525,253029
AU.NH,20240529,2083.8312,2079.3634,2092.2454,2074.5234,272486
AU.NH,20240528,2069.9067,2075.6403,2086.214,2069.4599,237754
AU.NH,20240527,2069.2365,2063.7263,2076.6083,2060.5989,217871
AU.NH,20240524,2064.3965,2083.2355,2088.2245,2049.4295,353005
AU.NH,20240523,2083.9056,2130.2213,2132.4551,2073.4064,434484
AU.NH,20240522,2134.5401,2142.731,2150.6984,2128.9554,281250
AU.NH,20240521,2130.4446,2133.0508,2163.8783,2126.0514,417302
AU.NH,20240520,2155.0917,2110.4887,2168.346,2109.1484,513090
AU.NH,20240517,2103.0425,2096.7132,2103.4148,2090.0115,204650
AU.NH,20240516,2101.4043,2090.5328,2111.6057,2075.268,359509
AU.NH,20240515,2081.2994,2073.7043,2084.5758,2070.5769,244642
AU.NH,20240514,2064.9177,2074.6723,2077.1295,2064.0242,226700
AU.NH,20240513,2076.0871,2085.4693,2093.6602,2074.1511,333753
AU.NH,20240510,2090.1605,2047.9668,2090.503,2042.0499,349500
AU.NH,20240509,2040.8278,2045.3322,2048.598,2038.8594,216140
AU.NH,20240508,2044.0641,2044.0942,2051.4673,2037.3479,229342
AU.NH,20240507,2047.3032,2047.3785,2055.9066,2044.4059,245065
AU.NH,20240506,2042.3,2060.5335,2060.5335,2018.0883,177380
AU.NH,20240430,2053.1355,2060.5335,2068.081,2047.6804,224590
AU.NH,20240429,2060.4588,2075.8526,2081.8308,2056.8718,296723
AU.NH,20240426,2072.1162,2062.4764,2074.4328,2046.7836,368350
AU.NH,20240425,2056.0498,2057.3949,2071.6679,2041.9264,357453
AU.NH,20240424,2058.74,2043.0473,2063.672,2040.2076,405834
AU.NH,20240423,2035.724,2069.5755,2078.0197,2031.6887,493813
AU.NH,20240422,2086.4639,2116.579,2131.0762,2083.1012,427321
AU.NH,20240419,2123.3792,2116.8779,2152.3735,2100.2137,683487
AU.NH,20240418,2112.9921,2123.0056,2133.2433,2088.631,556416
AU.NH,20240417,2121.4363,2118.5967,2140.7907,2109.181,689627
AU.NH,20240416,2118.522,2107.1634,2134.962,2075.6284,781280
AU.NH,20240415,2106.8645,2131.3003,2198.0319,2090.6486,1177246
AU.NH,20240412,2131.5992,2078.1692,2131.7487,2074.8064,558334
AU.NH,20240411,2074.5075,2078.6922,2087.2859,2063.1489,656747
AU.NH,20240410,2087.809,2084.9693,2095.5806,2074.2833,599440
AU.NH,20240409,2080.8593,2069.2019,2089.3035,2059.1137,515603
AU.NH,20240408,2072.7141,1998.8086,2095.1323,1998.8086,561135
AU.NH,20240403,2023.3192,1998.8086,2024.3654,1994.325,528986
AU.NH,20240402,1997.9866,1991.1865,1998.6592,1973.775,436237
AU.NH,20240401,1995.3712,1981.0235,1999.5559,1973.7002,357400
