date,open,high,low,close,volume,open_interest
2006-12-18,8538,9032,8538,8880,22288,3101
2006-12-19,8860,8958,8806,8906,24535,3744
2006-12-20,8944,8970,8906,8958,12793,4441
2006-12-21,8940,8948,8884,8912,9707,4040
2006-12-22,8904,8928,8824,8924,4977,3778
2006-12-25,8918,9140,8912,9098,17395,6201
2006-12-26,9120,9166,9062,9158,18623,6413
2006-12-27,9082,9126,9008,9016,17840,7181
2006-12-28,9000,9006,8850,8856,15991,7393
2006-12-29,8850,8934,8780,8898,16016,5615
2007-1-4,8690,8772,8530,8734,17006,6045
2007-1-5,8660,8804,8612,8782,19836,7090
2007-1-8,8806,8838,8738,8746,18056,6580
2007-1-9,8726,8820,8714,8776,15515,7274
2007-1-10,8790,8814,8740,8744,15395,6817
2007-1-11,8690,8782,8690,8730,11096,6067
2007-1-12,8720,8752,8646,8670,9015,6063
2007-1-15,8720,8770,8680,8696,7895,6132
2007-1-16,8700,8740,8616,8626,9491,6419
2007-1-17,8584,8636,8472,8490,12178,7889
2007-1-18,8530,8530,8356,8376,15573,8903
2007-1-19,8344,8382,8254,8340,23217,8038
2007-1-22,8370,8386,8102,8130,30250,11532
2007-1-23,8060,8186,8056,8162,29629,9937
2007-1-24,8220,8312,8180,8254,27382,8017
2007-1-25,8258,8292,8214,8260,17144,8360
2007-1-26,8252,8290,8232,8282,10360,7950
2007-1-29,8306,8336,8200,8214,15107,8949
2007-1-30,8170,8216,8112,8184,14812,9616
2007-1-31,8280,8314,8238,8272,14294,9756
2007-2-1,8280,8318,8266,8300,12839,9762
2007-2-2,8280,8350,8198,8202,20192,9083
2007-2-5,8250,8268,8156,8188,16628,9347
2007-2-6,8180,8248,8180,8230,11886,9334
2007-2-7,8248,8298,8224,8284,13177,9018
2007-2-8,8246,8294,8218,8262,13838,9583
2007-2-9,8300,8380,8292,8318,21284,10535
2007-2-12,8282,8354,8280,8348,13263,8607
2007-2-13,8302,8410,8302,8394,11692,9278
2007-2-14,8420,8460,8382,8446,22835,12080
2007-2-15,8420,8446,8398,8422,10197,11101
2007-2-16,8420,8440,8402,8438,4127,10193
2007-2-26,8500,8550,8420,8432,13638,10879
2007-2-27,8414,8444,8384,8416,7380,10476
2007-2-28,8372,8432,8342,8422,6424,9899
2007-3-1,8452,8484,8416,8480,7548,9236
2007-3-2,8470,8540,8462,8536,10104,10141
2007-3-5,8500,8530,8454,8478,7445,9265
2007-3-6,8466,8498,8440,8498,4224,8563
2007-3-7,8500,8530,8484,8504,4904,9067
2007-3-8,8530,8530,8480,8498,4668,9159
2007-3-9,8490,8500,8426,8450,4837,8841
2007-3-12,8430,8450,8364,8386,8675,9265
2007-3-13,8400,8424,8382,8394,5265,9704
2007-3-14,8384,8398,8348,8380,4749,9310
2007-3-15,8390,8410,8380,8380,3439,9806
2007-3-16,8356,8386,8330,8384,4364,10103
2007-3-19,8388,8414,8366,8380,4393,10251
2007-3-20,8388,8388,8350,8366,3623,10339
2007-3-21,8370,8388,8360,8364,3930,10818
2007-3-22,8374,8402,8372,8384,5218,10809
2007-3-23,8410,8438,8408,8418,6725,10423
2007-3-26,8428,8428,8384,8388,3253,10157
2007-3-27,8408,8408,8312,8322,5323,10580
2007-3-28,8344,8382,8304,8366,6511,10294
2007-3-29,8368,8372,8332,8336,2344,9878
2007-3-30,8370,8412,8368,8376,6586,9282
2007-4-2,8300,8502,8300,8498,9013,8347
2007-4-3,8496,8598,8494,8570,10792,8295
2007-4-4,8560,8610,8538,8546,7593,7772
2007-4-5,8550,8574,8516,8550,2569,7094
2007-4-6,8540,8576,8486,8514,2259,6475
2007-4-9,8690,8720,8640,8690,8886,12629
2007-4-10,8612,8672,8612,8660,7253,12490
2007-4-11,8670,8708,8650,8682,8478,14524
2007-4-12,8694,8796,8686,8780,19648,19474
2007-4-13,8818,8908,8800,8862,19450,20660
2007-4-16,8882,8998,8882,8962,17991,18426
2007-4-17,8950,8978,8904,8916,7820,18772
2007-4-18,8948,8996,8698,8844,21864,19075
2007-4-19,8854,8870,8672,8776,11942,18959
2007-4-20,8754,8850,8752,8788,9863,19233
2007-4-23,8828,8874,8802,8818,5465,18755
2007-4-24,8928,8930,8870,8878,5696,19320
2007-4-25,8822,8884,8822,8850,3924,19215
2007-4-26,8900,8940,8870,8922,8564,19608
2007-4-27,8920,8958,8880,8888,8305,17724
2007-4-30,8922,8922,8882,8886,5727,15220
2007-5-8,8780,8838,8762,8802,2724,14351
2007-5-9,8802,8840,8750,8782,2342,13345
2007-5-10,8704,8764,8704,8744,1737,12986
2007-5-11,8756,8756,8596,8630,5411,10836
2007-5-14,8644,8800,8604,8786,3286,10334
2007-5-15,8804,8858,8756,8820,3457,10221
2007-5-16,8838,8838,8758,8798,991,10059
2007-5-17,8770,8770,8718,8748,2223,9785
2007-5-18,8820,8822,8764,8798,641,9694
2007-5-21,8940,8960,8906,8918,4300,15457
2007-5-22,8946,8976,8900,8928,5272,15758
2007-5-23,8894,8916,8830,8914,5672,15105
2007-5-24,8936,8980,8904,8966,6468,16313
2007-5-25,8902,8992,8902,8990,6236,17110
2007-5-28,9010,9070,8958,8982,7283,16665
2007-5-29,8994,8994,8900,8910,4218,16033
2007-5-30,8878,8910,8860,8884,2927,15947
2007-5-31,8910,8910,8850,8872,2206,15691
2007-6-1,8880,8908,8688,8748,6074,14863
2007-6-4,8750,8780,8650,8660,3357,14023
2007-6-5,8700,8710,8640,8694,3692,13357
2007-6-6,8700,8710,8654,8690,3687,12785
2007-6-7,8688,8688,8554,8566,4425,12968
2007-6-8,8586,8586,8370,8464,7027,10637
2007-6-11,8428,8550,8428,8492,1688,10245
2007-6-12,8490,8518,8458,8468,2456,9933
2007-6-13,8440,8488,8366,8484,1300,9415
2007-6-14,8458,8530,8438,8482,382,9197
2007-6-15,8488,8526,8440,8512,559,8836
2007-6-18,8526,8578,8518,8518,660,8505
2007-6-19,8546,8598,8546,8566,775,8245
2007-6-20,8516,8718,8492,8492,167,8227
2007-6-21,8402,8524,8402,8494,1075,8119
2007-6-22,8490,8510,8448,8452,1064,8137
2007-6-25,8412,8440,8370,8376,168,8096
2007-6-26,8398,8400,8330,8368,228,8030
2007-6-27,8350,8372,8332,8342,127,8040
2007-6-28,8316,8324,8250,8270,125,8044
2007-6-29,8244,8260,8196,8248,159,8046
2007-7-2,7930,8350,7930,8350,708,8062
2007-7-3,8350,8370,8350,8358,20,8053
2007-7-4,8380,8416,8376,8380,72,7996
2007-7-5,8352,8390,8352,8378,259,8142
2007-7-6,8380,8400,8330,8330,38,8130
2007-7-9,8400,8410,8400,8410,72,8063
2007-7-10,8380,8380,8352,8378,153,8198
2007-7-11,8390,8400,8372,8388,189,8067
2007-7-12,8408,8416,8400,8408,124,8090
2007-7-13,8420,8504,8416,8432,1530,7964
2007-7-16,8100,9504,8096,8302,14,3
2007-7-18,8452,8750,8452,8750,3,3
2007-7-20,8334,8334,8334,8334,1,3
2007-7-23,8700,8700,8622,8658,613,6459
2007-7-24,8646,8650,8602,8650,458,6443
2007-7-25,8620,8642,8610,8640,358,6393
2007-7-26,8680,8684,8626,8626,1262,6811
2007-7-27,8626,8632,8590,8612,437,6896
2007-7-30,8608,8650,8582,8588,1299,6845
2007-7-31,8582,8596,8480,8480,1433,6650
2007-8-1,8530,8530,8450,8458,907,6436
2007-8-2,8458,8490,8450,8460,291,6332
2007-8-3,8460,8476,8418,8464,261,6267
2007-8-6,8450,8450,8392,8392,486,6491
2007-8-7,8318,8378,8318,8354,599,6587
2007-8-8,8354,8356,8286,8292,839,6479
2007-8-9,8230,8300,8230,8260,1464,6628
2007-8-10,8260,8260,8190,8208,585,6595
2007-8-13,8242,8258,7978,8000,1806,6277
2007-8-14,8000,8048,7960,8040,3601,6183
2007-8-15,8032,8098,8014,8056,748,6104
2007-8-16,8050,8094,8034,8084,652,5928
2007-8-17,8000,8068,7986,8040,721,5737
2007-8-20,8032,8058,7992,7992,480,5720
2007-8-21,7990,8018,7890,8014,922,5589
2007-8-22,8000,8000,7950,7964,478,5560
2007-8-23,7962,7962,7910,7922,142,5530
2007-8-24,7894,7916,7894,7900,194,5492
2007-8-27,7900,7900,7880,7896,285,5372
2007-8-28,7898,7912,7880,7882,295,5350
2007-8-29,7870,7870,7830,7846,169,5316
2007-8-30,7528,7884,7528,7740,282,5285
2007-8-31,7680,7850,7680,7822,297,5278
2007-9-3,7820,8002,7820,8002,630,5056
2007-9-4,7998,7998,7870,7880,307,4829
2007-9-5,7982,7990,7874,7892,166,4687
2007-9-6,7912,7926,7870,7926,289,4424
2007-9-7,7968,7972,7922,7922,139,4367
2007-9-10,8298,8328,8230,8246,3064,11567
2007-9-11,8268,8334,8092,8108,13418,12850
2007-9-12,8110,8162,8050,8118,7323,13060
2007-9-13,8142,8260,8142,8176,7274,13277
2007-9-14,8176,8224,8138,8156,3019,13488
2007-9-17,8168,8170,8072,8118,3898,13869
2007-9-18,8168,8298,8146,8294,21452,19926
2007-9-19,8332,8350,8220,8244,20585,23316
2007-9-20,8250,8278,8172,8178,9621,23406
2007-9-21,8200,8268,8154,8206,13248,22846
2007-9-24,8240,8250,8146,8160,12638,25517
2007-9-25,8148,8148,8002,8012,20012,28758
2007-9-26,8000,8030,7888,7888,18935,32028
2007-9-27,7900,7930,7858,7916,11974,30178
2007-9-28,7950,7950,7894,7912,9920,28478
2007-10-8,7752,7898,7750,7772,9869,29735
2007-10-9,7750,7854,7742,7798,16087,32740
2007-10-10,7802,7836,7650,7660,24791,36121
2007-10-11,7680,7694,7622,7650,18546,37424
2007-10-12,7670,7836,7650,7832,60920,44959
2007-10-15,7856,7896,7792,7802,55216,52596
2007-10-16,7824,7886,7766,7844,76773,64392
2007-10-17,7840,7884,7800,7808,81561,76700
2007-10-18,7810,7834,7554,7588,98957,73571
2007-10-19,7604,7650,7572,7602,52347,64547
2007-10-22,7562,7670,7480,7496,82598,63743
2007-10-23,7520,7528,7380,7398,64337,62923
2007-10-24,7380,7436,7372,7406,31908,57939
2007-10-25,7430,7450,7322,7370,42090,51343
2007-10-26,7400,7426,7352,7404,43158,47872
2007-10-29,7420,7512,7392,7494,41844,47386
2007-10-30,7482,7506,7378,7394,22835,38465
2007-10-31,7378,7490,7300,7388,19256,35978
2007-11-1,7450,7472,7358,7368,8221,35092
2007-11-2,7338,7424,7322,7386,7877,33625
2007-11-5,7600,7632,7558,7628,44440,44361
2007-11-6,7636,7754,7612,7738,86653,56968
2007-11-7,7796,7802,7722,7746,71552,55086
2007-11-8,7720,7854,7712,7836,83347,59463
2007-11-9,7832,7850,7662,7766,85394,57108
2007-11-12,7740,7870,7728,7828,84044,64596
2007-11-13,7822,7856,7768,7806,70229,67243
2007-11-14,7774,7810,7740,7752,55976,74192
2007-11-15,7800,7800,7570,7572,91559,65292
2007-11-16,7552,7590,7384,7428,84479,49743
2007-11-19,7448,7540,7358,7470,60010,42971
2007-11-20,7412,7500,7392,7454,59437,42646
2007-11-21,7490,7528,7440,7478,40521,41519
2007-11-22,7454,7516,7370,7386,82919,35694
2007-11-23,7360,7430,7300,7358,50701,39700
2007-11-26,7382,7466,7360,7382,53433,45180
2007-11-27,7352,7408,7330,7366,28523,44250
2007-11-28,7348,7442,7346,7398,44290,44701
2007-11-29,7412,7422,7322,7340,32518,41733
2007-11-30,7312,7352,7212,7232,32705,40760
2007-12-3,7216,7240,7062,7088,26480,33773
2007-12-4,7070,7110,7016,7016,18489,31845
2007-12-5,7000,7030,6866,6996,31986,26166
2007-12-6,6980,7064,6950,7034,18701,24772
2007-12-7,7044,7098,7038,7078,11426,24021
2007-12-10,7056,7076,6982,7050,8009,21891
2007-12-11,7038,7096,7032,7050,6392,18980
2007-12-12,7044,7094,7010,7040,5750,15433
2007-12-13,7080,7106,7048,7070,2702,13963
2007-12-14,7058,7076,7020,7056,1373,13161
2007-12-17,7380,7388,7248,7254,36766,30544
2007-12-18,7212,7260,7044,7086,41528,38865
2007-12-19,7040,7128,7006,7100,36216,41923
2007-12-20,7102,7120,7046,7076,25504,42865
2007-12-21,7046,7098,7046,7074,12859,42450
2007-12-24,7082,7362,7082,7260,88856,47874
2007-12-25,7270,7418,7142,7380,112794,52954
2007-12-26,7404,7488,7320,7336,95531,61124
2007-12-27,7342,7398,7276,7336,63500,59145
2007-12-28,7350,7388,7290,7342,58373,59717
2008-1-2,7358,7382,7296,7318,55577,56940
2008-1-3,7350,7450,7324,7382,97413,54103
2008-1-4,7396,7444,7376,7392,93074,61226
2008-1-7,7356,7398,7334,7378,34751,57559
2008-1-8,7366,7488,7366,7466,90400,60656
2008-1-9,7492,7538,7432,7506,58662,56237
