date,open,high,low,close,volume,open_interest
2022-8-9 21:43,5532,5536,5528,5528,2636,805581
2022-8-9 21:44,5530,5534,5528,5534,2190,805883
2022-8-9 21:45,5534,5540,5532,5536,3925,806136
2022-8-9 21:46,5536,5536,5518,5524,8964,807072
2022-8-9 21:47,5526,5534,5526,5532,3629,807828
2022-8-9 21:48,5532,5534,5526,5530,2886,808274
2022-8-9 21:49,5530,5534,5528,5532,1968,808213
2022-8-9 21:50,5532,5534,5528,5530,1939,808446
2022-8-9 21:51,5532,5532,5526,5532,2141,808575
2022-8-9 21:52,5532,5532,5526,5526,1476,808888
2022-8-9 21:53,5528,5528,5518,5526,5244,809633
2022-8-9 21:54,5524,5526,5520,5522,2989,810124
2022-8-9 21:55,5526,5532,5524,5530,4429,810288
2022-8-9 21:56,5530,5534,5526,5528,3341,809643
2022-8-9 21:57,5528,5536,5528,5534,2840,809742
2022-8-9 21:58,5534,5542,5534,5538,3168,809377
2022-8-9 21:59,5540,5542,5534,5536,2777,809748
2022-8-9 22:00,5534,5538,5534,5534,2522,809840
2022-8-9 22:01,5536,5542,5530,5532,4655,810976
2022-8-9 22:02,5532,5534,5526,5532,3006,811456
2022-8-9 22:03,5532,5534,5516,5518,4394,811335
2022-8-9 22:04,5518,5530,5518,5528,3385,811623
2022-8-9 22:05,5528,5530,5524,5524,2418,811950
2022-8-9 22:06,5526,5532,5520,5532,3093,811826
2022-8-9 22:07,5532,5534,5526,5530,1636,811833
2022-8-9 22:08,5528,5536,5528,5532,2263,812176
2022-8-9 22:09,5534,5536,5530,5536,1652,812661
2022-8-9 22:10,5536,5544,5534,5540,4343,812526
2022-8-9 22:11,5542,5560,5538,5554,9883,811015
2022-8-9 22:12,5552,5556,5550,5552,3336,810957
2022-8-9 22:13,5554,5560,5552,5556,3784,810948
2022-8-9 22:14,5558,5562,5556,5560,4492,810632
2022-8-9 22:15,5560,5572,5556,5570,6779,809971
2022-8-9 22:16,5572,5574,5566,5570,5887,810153
2022-8-9 22:17,5570,5576,5568,5574,3951,811129
2022-8-9 22:18,5574,5580,5574,5578,4975,811347
2022-8-9 22:19,5578,5580,5572,5578,4862,810903
2022-8-9 22:20,5576,5586,5576,5578,6698,810243
2022-8-9 22:21,5580,5588,5578,5588,7742,810456
2022-8-9 22:22,5588,5590,5574,5574,5766,809880
2022-8-9 22:23,5576,5580,5572,5578,4501,810712
2022-8-9 22:24,5580,5580,5568,5572,5632,811827
2022-8-9 22:25,5572,5574,5568,5570,2577,811757
2022-8-9 22:26,5570,5572,5560,5564,5332,811778
2022-8-9 22:27,5564,5570,5564,5566,2235,811880
2022-8-9 22:28,5564,5566,5556,5558,5078,812845
2022-8-9 22:29,5558,5562,5556,5562,2864,813271
2022-8-9 22:30,5562,5564,5554,5554,3823,813587
2022-8-9 22:31,5552,5554,5550,5550,3583,813669
2022-8-9 22:32,5550,5560,5550,5560,2406,813191
2022-8-9 22:33,5560,5562,5558,5560,2161,813073
2022-8-9 22:34,5560,5560,5554,5556,1263,813084
2022-8-9 22:35,5556,5558,5552,5554,1115,813400
2022-8-9 22:36,5554,5554,5546,5546,2431,813413
2022-8-9 22:37,5546,5548,5542,5544,2829,813001
2022-8-9 22:38,5544,5546,5540,5540,3798,811773
2022-8-9 22:39,5542,5546,5536,5542,4233,811657
2022-8-9 22:40,5540,5544,5538,5542,2211,811835
2022-8-9 22:41,5544,5544,5530,5536,5957,811918
2022-8-9 22:42,5536,5536,5532,5534,1761,812119
2022-8-9 22:43,5534,5538,5532,5538,1900,812524
2022-8-9 22:44,5538,5540,5534,5538,2082,812806
2022-8-9 22:45,5536,5538,5530,5530,3458,813563
2022-8-9 22:46,5532,5536,5530,5536,2153,814202
2022-8-9 22:47,5536,5536,5528,5528,3212,814915
2022-8-9 22:48,5528,5532,5526,5530,2481,815517
2022-8-9 22:49,5532,5532,5526,5526,2123,816067
2022-8-9 22:50,5526,5530,5526,5528,1212,816201
2022-8-9 22:51,5530,5530,5512,5514,10165,816553
2022-8-9 22:52,5512,5514,5504,5508,9928,818590
2022-8-9 22:53,5506,5512,5506,5512,4367,818507
2022-8-9 22:54,5510,5512,5506,5510,3984,818528
2022-8-9 22:55,5510,5516,5510,5514,2518,817910
2022-8-9 22:56,5516,5524,5514,5524,3801,817346
2022-8-9 22:57,5524,5526,5520,5520,3548,816483
2022-8-9 22:58,5520,5524,5518,5520,3177,816758
2022-8-9 22:59,5518,5524,5518,5522,3527,815693
2022-8-10 9:00,5494,5500,5484,5490,18314,817881
2022-8-10 9:01,5492,5512,5488,5498,10039,818730
2022-8-10 9:02,5498,5508,5496,5504,6677,820511
2022-8-10 9:03,5502,5506,5492,5496,4671,822190
2022-8-10 9:04,5496,5514,5496,5514,8470,824886
2022-8-10 9:05,5514,5524,5512,5524,6579,825109
2022-8-10 9:06,5524,5530,5520,5526,7368,825364
2022-8-10 9:07,5526,5528,5518,5522,4667,826959
2022-8-10 9:08,5522,5526,5520,5526,2003,827449
2022-8-10 9:09,5524,5526,5520,5522,2211,827848
2022-8-10 9:10,5524,5528,5520,5528,3581,828123
2022-8-10 9:11,5528,5530,5524,5526,4235,828798
2022-8-10 9:12,5528,5530,5526,5530,1166,829054
2022-8-10 9:13,5528,5534,5526,5530,5754,829975
2022-8-10 9:14,5528,5530,5526,5526,2267,830705
2022-8-10 9:15,5528,5552,5526,5552,10452,831225
2022-8-10 9:16,5550,5552,5540,5544,6585,832133
