datetime,open,high,low,close,volume,open_interest
2009-3-27,3550,3663,3513,3561,177295,22774
2009-3-30,3550,3580,3528,3544,72584,24190
2009-3-31,3538,3566,3531,3549,35296,22357
2009-4-1,3560,3561,3543,3547,14050,21038
2009-4-2,3545,3548,3456,3473,117723,34444
2009-4-3,3481,3481,3436,3448,76188,37519
2009-4-7,3410,3518,3410,3491,121289,50241
2009-4-8,3480,3491,3456,3463,73479,45955
2009-4-9,3476,3486,3460,3468,43844,47416
2009-4-10,3483,3499,3470,3484,60489,50082
2009-4-13,3485,3493,3464,3469,54840,54715
2009-4-14,3475,3600,3469,3560,270323,75320
2009-4-15,3570,3590,3550,3562,127803,75748
2009-4-16,3582,3628,3570,3596,125232,84664
2009-4-17,3594,3648,3581,3620,169625,109946
2009-4-20,3620,3648,3608,3623,128527,118914
2009-4-21,3580,3590,3486,3524,166224,119777
2009-4-22,3550,3566,3508,3526,84262,116474
2009-4-23,3529,3531,3488,3513,65193,116493
2009-4-24,3513,3522,3497,3501,50722,123024
2009-4-27,3510,3520,3492,3499,51236,127254
2009-4-28,3496,3515,3496,3507,48274,131267
2009-4-29,3507,3520,3503,3520,51347,137527
2009-4-30,3536,3575,3523,3553,123456,148800
2009-5-4,3573,3660,3571,3636,287166,163051
2009-5-5,3636,3644,3570,3577,87977,154972
2009-5-6,3578,3598,3573,3594,51894,156731
2009-5-7,3628,3630,3591,3593,75210,159545
2009-5-8,3599,3616,3589,3614,51810,161577
2009-5-11,3615,3678,3606,3639,167541,169577
2009-5-12,3645,3660,3630,3645,96817,169723
2009-5-13,3655,3657,3634,3639,59318,170250
2009-5-14,3616,3620,3590,3594,69786,168150
2009-5-15,3600,3618,3596,3604,66146,169039
2009-5-18,3595,3612,3581,3608,52373,168375
2009-5-19,3630,3630,3611,3618,47810,167745
2009-5-20,3616,3644,3612,3618,59387,168740
2009-5-21,3620,3642,3618,3624,58814,170924
2009-5-22,3619,3627,3608,3618,30111,170021
2009-5-25,3629,3629,3600,3609,47905,176578
2009-5-26,3609,3620,3596,3601,57097,171483
2009-5-27,3628,3628,3606,3610,23259,168363
2009-6-1,3630,3657,3622,3647,96504,172995
2009-6-2,3660,3682,3652,3655,99574,171860
2009-6-3,3659,3672,3656,3670,52733,172337
2009-6-4,3650,3712,3645,3700,185477,182156
2009-6-5,3721,3778,3720,3756,133893,173062
2009-6-8,3755,3793,3747,3788,146889,174721
2009-6-9,3797,3807,3768,3779,107338,172991
2009-6-10,3792,3813,3774,3808,119105,175288
2009-6-11,3810,3940,3807,3878,317076,189683
2009-6-12,3888,3928,3835,3864,294421,178049
2009-6-15,3855,3877,3823,3849,183011,173911
2009-6-16,3829,3882,3828,3865,179123,171703
2009-6-17,3861,3878,3841,3852,106261,168457
2009-6-18,3852,3865,3830,3842,94419,162270
2009-6-19,3852,3920,3846,3907,278391,173622
2009-6-22,3908,3936,3900,3919,243105,175801
2009-6-23,3898,3900,3835,3881,240772,176559
2009-6-24,3888,3897,3858,3870,139427,180256
2009-6-25,3862,3888,3858,3866,140921,182240
2009-6-26,3870,3887,3846,3854,185144,193406
2009-6-29,3846,3853,3823,3829,134721,173614
2009-6-30,3832,3840,3817,3826,97543,164201
2009-7-1,3826,3845,3820,3839,102484,175197
2009-7-2,3856,3878,3845,3867,135476,180455
2009-7-3,3867,3883,3858,3859,127642,168531
2009-7-6,3858,3874,3855,3866,62070,158660
2009-7-7,3876,3880,3864,3870,37704,146248
2009-7-8,3861,3870,3837,3850,45509,132830
2009-7-9,3841,3868,3841,3865,27499,122982
2009-7-10,3874,3892,3865,3882,52594,103504
2009-7-13,3891,3913,3881,3886,37722,83564
2009-7-14,3902,3908,3890,3901,22879,72889
2009-7-15,3907,3975,3907,3973,31586,61702
2009-7-16,3989,4028,3967,4001,34466,53860
2009-7-17,4001,4012,3975,3978,14405,52076
2009-7-20,4016,4031,4006,4029,118133,165910
2009-7-21,4038,4045,4014,4034,128967,156809
2009-7-22,4044,4088,4036,4072,192619,161915
2009-7-23,4088,4124,4076,4122,187254,167811
2009-7-24,4125,4198,4120,4184,245911,183298
2009-7-27,4198,4258,4178,4236,351630,178655
2009-7-28,4235,4336,4218,4331,402063,183532
2009-7-29,4333,4416,4304,4392,761926,190685
2009-7-30,4410,4449,4361,4444,621105,198909
2009-7-31,4482,4627,4455,4627,584945,161162
2009-8-3,4777,4857,4730,4857,390483,139600
2009-8-4,4970,4982,4828,4848,260930,101621
2009-8-5,4872,4938,4820,4883,186925,83877
2009-8-6,4890,4913,4839,4899,99110,78567
2009-8-7,4885,4904,4690,4754,143252,73954
2009-8-10,4658,4725,4556,4642,1223617,272840
2009-8-11,4618,4675,4603,4658,780230,287202
2009-8-12,4645,4662,4564,4591,847813,293340
2009-8-13,4621,4679,4602,4617,785764,304975
2009-8-14,4620,4640,4461,4512,901117,308973
2009-8-17,4443,4537,4365,4436,1107817,338611
2009-8-18,4475,4499,4392,4416,969734,349766
2009-8-19,4400,4414,4219,4219,1008147,386638
2009-8-20,4240,4317,4131,4283,1711051,368855
2009-8-21,4270,4426,4245,4334,1863157,292014
2009-8-24,4451,4462,4306,4323,1471638,355755
2009-8-25,4280,4280,4181,4240,1189776,356828
2009-8-26,4210,4296,4202,4269,1268605,356836
2009-8-27,4250,4312,4223,4271,1240094,332310
2009-8-28,4288,4333,4250,4272,1039777,275625
2009-8-31,4261,4271,4115,4133,598107,228888
2009-9-1,4098,4127,4054,4075,1149261,282833
2009-9-2,4020,4079,4011,4032,1247531,327724
2009-9-3,4041,4075,4003,4049,1346486,392998
2009-9-4,4055,4068,4015,4031,1074987,371567
2009-9-7,4018,4018,3908,3919,1159753,406681
2009-9-8,3898,3959,3880,3944,1470331,428093
2009-9-9,3960,4048,3955,4044,1755691,411122
2009-9-10,4060,4078,4003,4007,1521176,410181
2009-9-11,4000,4025,3957,3972,1150202,385505
2009-9-14,3927,3975,3900,3973,1102076,413433
2009-9-15,3993,3996,3951,3967,1221382,425521
2009-9-16,3985,4040,3966,4036,1486062,472708
2009-9-17,4050,4065,3990,3990,1447325,422906
2009-9-18,3981,3997,3937,3973,1271470,404868
2009-9-21,3970,4007,3961,3989,1062444,396485
2009-9-22,3977,3989,3953,3956,789846,398073
2009-9-23,3958,3964,3890,3891,991140,381925
2009-9-24,3881,3882,3813,3854,997231,327468
2009-9-25,3830,3847,3811,3825,714383,287725
2009-9-28,3812,3815,3637,3659,788322,232394
2009-9-29,3667,3709,3627,3694,477663,194736
2009-9-30,3699,3725,3670,3690,251302,174404
2009-10-9,3738,3740,3640,3644,194745,176812
2009-10-12,3634,3700,3610,3695,1390139,423324
2009-10-13,3690,3707,3657,3665,1510667,478563
2009-10-14,3655,3693,3652,3678,989256,466939
2009-10-15,3679,3758,3678,3756,1727924,515133
2009-10-16,3761,3829,3760,3829,1691148,510722
2009-10-19,3830,3961,3830,3865,2436685,464231
2009-10-20,3880,3899,3810,3842,2200356,478300
2009-10-21,3838,3894,3826,3887,2163840,537499
2009-10-22,3920,3940,3854,3855,1899004,470693
2009-10-23,3860,3912,3855,3891,1631429,481266
2009-10-26,3898,4005,3898,4001,1901985,493208
2009-10-27,3988,4014,3952,3971,2109874,466726
2009-10-28,3968,3968,3858,3865,1992610,487246
2009-10-29,3820,3854,3787,3835,1780367,473879
2009-10-30,3879,3895,3845,3875,1746572,444953
2009-11-2,3843,3916,3828,3910,1937180,489468
2009-11-3,3910,3940,3876,3881,1911847,456350
2009-11-4,3886,3903,3866,3889,1132923,419539
2009-11-5,3880,3895,3878,3885,514034,336106
2009-11-6,3890,3896,3876,3890,250113,250290
2009-11-9,3890,3945,3888,3927,216237,198206
2009-11-10,4128,4144,4078,4081,2046743,462865
